,VidName,FrameNumber,ObjEntropy,SceneEntropy,__background__,person,bicycle,car_coco,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,sky,building,pole,road_marking,road,pavement,tree,sign_symbol,fence,car_enet,pedestrian,bicyclist,unlabeled
1390,RusselSq1_EQR_720p,23400,0.40046123219965385,1.38818388819518,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18832118055555555,0.009293402777777777,0.0017881944444444445,0.29091840277777775,0.021144097222222224,0.43864930555555554,0.00790451388888889,0.023118055555555555,0.012092013888888888,0.002107638888888889,0.004663194444444445,0.0,0.0
1391,EustonTap1_EQR_720p,10500,0.6688697523121738,1.6964289857852608,0,9,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38935416666666667,0.06448784722222223,0.019453125,0.27557465277777776,0.068078125,0.09720659722222222,0.011182291666666667,0.005517361111111111,0.05299305555555556,0.011390625,0.0047621527777777775,0.0,0.0
1392,CamdenTown2_EQR_720p,20400,0.5931166424758509,1.7665555987653083,0,27,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3868697916666667,0.09255729166666667,0.020086805555555556,0.25141319444444443,0.058402777777777776,0.06640277777777778,0.0135,0.0016631944444444444,0.06635590277777778,0.032302083333333335,0.010446180555555556,0.0,0.0
1393,CamdenTown2_EQR_720p,9300,0.5500410620132488,1.6964887287468076,0,39,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38727430555555553,0.1001875,0.019614583333333335,0.2795,0.04794444444444444,0.06703298611111111,0.01168923611111111,0.0015138888888888888,0.05940104166666667,0.019522569444444443,0.006319444444444444,0.0,0.0
1394,RegentsParkJapan2_0061,9900,0.42538246577226413,1.524071259614589,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24991280864197532,0.04249537037037037,0.00849537037037037,0.11928472222222222,0.058917438271604936,0.45662731481481483,0.00641358024691358,0.009017746913580246,0.0484945987654321,0.00032098765432098765,2.0061728395061728e-05,0.0,0.0
1395,EustonTap2_EQR_720p,16500,0.8317968828114437,1.6989061036154711,0,8,0,8,0,0,2,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39234375,0.071,0.023786458333333333,0.2702326388888889,0.06265625,0.07804861111111111,0.015651041666666667,0.00125,0.07181944444444445,0.006446180555555556,0.006765625,0.0,0.0
1396,RegentsParkFields2_EQR_720p,3000,0.2212492882802379,1.5754161357535688,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08539930555555555,0.11946354166666667,0.0007829861111111111,0.2540625,0.05945659722222222,0.42819097222222224,0.01159375,0.010647569444444444,0.023414930555555557,0.0019322916666666666,0.005055555555555555,0.0,0.0
1397,CamdenTown4_EQR_720p,16200,0.737793726787644,1.7288509112669772,0,34,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4057204861111111,0.10174131944444445,0.03340451388888889,0.21816319444444446,0.06039409722222222,0.02215451388888889,0.019479166666666665,0.0032690972222222223,0.11734027777777778,0.013517361111111112,0.004815972222222222,0.0,0.0
1398,MarchmontGarden1_EQR_720p,9300,0.31272680235757677,1.781938816550958,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25063541666666667,0.17354166666666668,0.011118055555555556,0.16872743055555556,0.053453125,0.27215625,0.01575347222222222,0.0051875,0.04051388888888889,0.0027864583333333335,0.0061267361111111114,0.0,0.0
1399,TateModernSq2_0076,25500,0.36783478444641116,1.667483831648788,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4437453703703704,0.11874922839506173,0.019602623456790123,0.1681550925925926,0.12355015432098765,0.057770833333333334,0.007767746913580247,0.00455787037037037,0.046510030864197534,0.007949845679012345,0.0016412037037037037,0.0,0.0
